dx,dy,dz,material
0,1,0,sandstone
0,1,1,sandstone
0,1,2,sandstone
0,1,3,sandstone
0,1,4,sandstone
1,1,0,sandstone
1,1,1,sandstone
1,1,2,sandstone
1,1,3,sandstone
1,1,4,sandstone
2,1,0,sandstone
2,1,1,sandstone
2,1,2,sandstone
2,1,3,sandstone
2,1,4,sandstone
3,1,0,sandstone
3,1,1,sandstone
3,1,2,sandstone
3,1,3,sandstone
3,1,4,sandstone
4,1,0,sandstone
4,1,1,sandstone
4,1,2,sandstone
4,1,3,sandstone
4,1,4,sandstone
0,2,0,stone
0,2,1,stone
0,2,2,stone
0,2,3,stone
0,2,4,stone
1,2,0,stone
1,2,4,stone
2,2,0,stone
2,2,4,stone
3,2,0,stone
3,2,4,stone
4,2,0,stone
4,2,1,stone
4,2,2,stone
4,2,3,stone
4,2,4,stone
0,3,0,stone
0,3,1,stone
0,3,2,stone
0,3,3,stone
0,3,4,stone
1,3,0,stone
1,3,4,stone
2,3,0,stone
2,3,4,stone
3,3,0,stone
3,3,4,stone
4,3,0,stone
4,3,1,stone
4,3,2,stone
4,3,3,stone
4,3,4,stone
0,4,0,stone
0,4,2,stone
0,4,4,stone
2,4,0,stone
2,4,4,stone
4,4,0,stone
4,4,2,stone
4,4,4,stone
3,jaja,1,stone
1,2,jujuju,stone
5,jaja,1,stone
1,2,jujuju,stone
1,jaja,1,stone
1,1,juu,stone
3,jaja,1,stone
1,jujuju,3,stone
,,,
